tc_regime,family,points
0-10,Other,2044
0-10,bismuthate,119
0-10,borocarbide,20
0-10,chalcogenide,728
0-10,conventional,601
0-10,cuprate,208
0-10,elemental,817
0-10,fulleride,3
0-10,heavy_fermion,471
0-10,hydride,57
0-10,iron_based,613
0-10,kagome,110
0-10,mgb2,19
0-10,nickelate,45
0-10,organic,112
0-10,ruthenate,16
10-30,Other,333
10-30,bismuthate,35
10-30,borocarbide,82
10-30,chalcogenide,22
10-30,conventional,323
10-30,cuprate,976
10-30,elemental,9
10-30,fulleride,32
10-30,heavy_fermion,8
10-30,hydride,36
10-30,iron_based,1594
10-30,kagome,2
10-30,mgb2,59
10-30,nickelate,26
10-30,organic,48
30-50,Other,109
30-50,bismuthate,30
30-50,cuprate,671
30-50,elemental,1
30-50,fulleride,22
30-50,hydride,61
30-50,iron_based,762
30-50,mgb2,73
30-50,nickelate,18
50-80,Other,52
50-80,cuprate,666
50-80,fulleride,1
50-80,hydride,32
50-80,iron_based,146
50-80,nickelate,7
50-80,organic,1
80-100,Other,44
80-100,chalcogenide,2
80-100,cuprate,1037
80-100,fulleride,5
80-100,hydride,19
80-100,iron_based,4
80-100,nickelate,1
100-150,Other,44
100-150,cuprate,167
100-150,fulleride,10
100-150,hydride,28
150-251,Other,24
150-251,cuprate,4
150-251,fulleride,2
150-251,hydride,113
