band,lower_k,upper_k,width_k,points,point_density_per_k,experimental_points,theoretical_points,unique_materials,unique_papers
0-10,0,10,10,5983,598.3,4893,1090,2336,3238
10-20,10,20,10,2093,209.3,1625,468,946,1289
20-30,20,30,10,1492,149.2,1175,317,703,968
30-40,30,40,10,1221,122.1,968,253,572,848
40-50,40,50,10,526,52.6,387,139,296,390
50-60,50,60,10,356,35.6,274,82,175,292
60-70,60,70,10,280,28.0,189,91,136,227
70-80,70,80,10,269,26.9,206,63,139,211
80-90,80,90,10,557,55.7,435,122,209,396
90-100,90,100,10,555,55.5,416,139,156,419
100-120,100,120,20,151,7.55,93,58,80,121
120-150,120,150,30,98,3.2666666666666666,48,50,59,68
150-200,150,200,50,76,1.52,11,65,37,39
200-251,200,251,51,67,1.3137254901960784,11,56,23,44
