"figure_id","chapter","working_title","claim_tested","data_source","analysis_unit","primary_filters","transformation","statistical_or_quality_test","validation_requirement"
"Fig1","Data And Methods","SCLib data flow","The corpus can be traced from arXiv papers to audited materials and timeline records.","papers_snapshot; materials_snapshot; tc_records_snapshot","paper; chunk; material; record","snapshot version fixed; exclude retracted where indicated","Count records at each pipeline stage and mark exclusions","Reconcile counts against SCLib stats endpoint and frozen DB export","No manual scientific validation required; counts must be reproducible"
"Fig2","Global Tc Landscape","Tc-year timeline","The 1996-2026 landscape is stratified by Tc regime, family, pressure, and evidence type.","tc_records_snapshot","material-year-level point","needs_review=false; tc_kelvin>0; tc_kelvin<=250; valid year","Scatter and density layer by year, Tc, family, theory/experiment, pressure","Check plot with and without 2026; check experimental-only version","Validate all visible high-Tc outliers and random sample across years"
"Fig3","Global Tc Landscape","Tc distribution by measurement and material","The apparent density bands persist after reducing repeated measurements.","tc_records_snapshot; materials_snapshot","measurement-level and material-level","same as Fig2; material-level uses tc_max and tc_ambient","Histogram/KDE by Tc bands for both levels","Bootstrap by paper_id; compare band densities","Validate sample from each Tc band"
"Fig4","Global Tc Landscape","Tc-band family composition","The 50-80 K band is sparse and compositionally different from the 80-100 K cuprate plateau.","tc_records_snapshot","material-year-level and material-level","needs_review=false; complete years 1996-2025","Stacked bar chart by Tc band and family","Band-density gap ratio with bootstrap CI; chi-square or negative-binomial sensitivity","Validate 50-80 and 80-100 K stratified samples"
"Fig5","Global Tc Landscape","50-80 K gap zoom","The 50-80 K region is underfilled relative to neighboring bands and lacks a dominant repeated family platform.","tc_records_snapshot; materials_snapshot","record; material","Tc 30-100 K; needs_review=false","Zoom scatter and top-material table","Material-weighted gap ratio; repeat excluding top 10 repeated materials","Manual review of top 50 records in 50-80 K"
"Fig6","Global Tc Landscape","80-100 K cuprate plateau zoom","The 80-100 K plateau is dominated by cuprates, especially YBCO-related systems.","tc_records_snapshot; materials_snapshot","record; material","Tc 80-100 K; needs_review=false","Family share, top material formulas, parent-family collapse","Cuprate share with bootstrap CI; sensitivity after formula parent collapse","Manual review of top repeated cuprate formulas"
"Fig7","Family Burst Events","Family burst heatmap","New family research waves can be detected as sudden increases in family-year records, materials, and papers.","tc_records_snapshot","family-year","complete years 1996-2025; needs_review=false","Compute C_f_y, M_f_y, P_f_y, burst_score=(C+1)/(prev3avg+1)","Burst threshold C>=20, score>=3, M>=3; sensitivity using paper counts","Manual review for each declared burst anchor year"
"Fig8","Family Burst Events","Iron-based 2008 case study","The 2008 iron-based wave is the strongest new-family burst in the corpus.","tc_records_snapshot; papers_snapshot","paper-month and material-year","family=iron_based; year=2008","Monthly counts, earliest papers, Tc progression","Compare 2008 with prior 3-year baseline and all other families","Validate 100 sampled 2008 iron-based records and all cited anchor papers"
"Fig9","Theory Versus Experiment","Evidence-regime Tc envelope","The high-Tc frontier differs sharply between experimental ambient, experimental high-pressure, theory ambient, and theory high-pressure records.","tc_records_snapshot","year-evidence regime","needs_review=false; valid pressure class; complete years plus partial 2026 as supplement","Max Tc envelope per year and evidence regime","Sensitivity excluding unknown pressure; validate high-Tc envelope points","Manual review of every point defining yearly envelope above 100 K"
"Fig10","Theory Versus Experiment","Hydride and nickelate pressure-Tc map","High-Tc hydrides and modern nickelates are pressure-dependent evidence regimes, not directly comparable to ambient cuprates.","tc_records_snapshot","record-level","family in hydride,nickelate; needs_review=false","Pressure vs Tc scatter by experiment/theory and year","Compare pressure distributions by family; flag missing pressure","Manual review all hydride experimental Tc>=150 K and nickelate Tc>=50 K"
"Fig11","Theory Versus Experiment","Prediction-to-validation lag","Some theoretical predictions are experimentally followed, while many high-Tc predictions remain theoretical-only.","tc_records_snapshot","canonical material","materials with both theory and experimental records","first_theory_year, first_experimental_year, lag","Distribution of lags; separate hydrides, nickelates, others","Manual review every lag case with Tc>=100 K"
"Fig12","Validation And Limitations","Validation error dashboard","The review's scientific claims are bounded by measured extraction accuracy.","validation_labels.csv","manual validation record","stratified sample from validation plan","Compute field-level accuracy and false-positive rates","Wilson confidence intervals for accuracy metrics","All validation disagreements adjudicated before final manuscript"

